timestamp,axis0,axis1,axis2,axis3,button0,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,button12
1755588522.4293084,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.4417768,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.4524243,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.462746,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.473471,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.4838064,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.4945443,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.5055716,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.5166492,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.5272834,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.5384402,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.548968,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.5596285,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.5706446,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.580854,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.5915558,-1.0,-0.6015625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.6026483,-1.0,-0.59375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.6128252,-1.0,-0.5625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.6233687,-1.0,-0.484375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.6336832,-1.0,-0.4453125,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.6442266,-1.0,-0.4453125,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.6543987,-1.0,-0.4296875,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.6654904,-1.0,-0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.6758022,-1.0,-0.3671875,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.6868858,-1.0,-0.3671875,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.697572,-1.0,-0.3671875,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.7086244,-1.0,-0.3671875,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.7189958,-1.0,-0.3671875,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.7307205,-1.0,-0.4921875,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.7418191,-1.0,-0.5703125,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.75295,-1.0,-0.6796875,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.7633104,-1.0,-0.7109375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.773651,-1.0,-0.7265625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.784782,-1.0,-0.7421875,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.7949855,-1.0,-0.75,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755588522.8059292,-1.0,-0.7734375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
